Enthalpy data:
590.04 7651.06
590.07 7645.73
695.78 10542.51
695.86 10592.17
798.23 13449.09
798.27 13449.73
928.49 17219.52
1099.28 22426.51
1099.32 22396.67
1345.0 29347.0
1358.0 29485.0
1411.0 31627.0
1494.0 34116.0
1528.0 35062.0
1578.0 37192.0
1632.0 38807.0
1634.0 38710.0
1685.0 41171.0
1711.0 42254.0
1781.0 44652.0
1789.0 44991.0
1800.0 44676.52
1801.0 45836.0
1809.0 45275.0
1815.0 46093.0
1841.0 47107.0
1842.0 47120.0
1846.0 47891.0
1870.0 48404.0
1872.0 48249.0
1886.0 48332.0
1908.0 49599.0
1910.0 49625.0
1915.0 49818.0
1916.0 50279.0
1936.0 50168.0
1936.0 50940.0
1939.0 50769.0
1946.0 50784.0
1950.0 50585.84
1960.0 51224.0
1978.0 51669.0
1989.0 52296.0
1990.0 52990.0
1992.0 53822.0
2012.0 53953.0
2020.0 53735.0
2028.0 54559.0
2040.0 55464.0
2051.0 55070.0
2051.0 55138.0
2066.0 56580.0
2067.0 55663.0
2077.0 55831.0
2091.0 57773.0
2092.0 56810.0
2096.0 58258.0
2100.0 57004.58
2108.0 57045.0
2110.0 58301.0
2123.0 58735.0
2126.0 59831.0
2136.0 58580.0
2140.0 60450.0
2143.0 59973.0
2146.0 60070.0
2153.0 60580.0
2153.0 60873.0
2155.0 60379.0
2162.0 60300.0
2173.0 61174.0
2176.0 61183.0
2190.0 61130.92
Heat Capacity data:
298.15 24.39
298.98 24.38
298.98 24.37
299.01 24.38
299.07 24.47
299.15 24.47
299.24 24.4
299.43 24.43
303.22 24.46
306.89 24.57
307.0 24.2979
312.5 24.2766
320.0 24.6
321.21 24.73
329.96 24.97
342.18 25.0
350.0 25.3
350.87 25.1
360.0 24.575
365.63 25.26
368.5 24.8947
374.22 25.47
376.5 24.7455
387.52 25.47
400.0 25.9
401.98 25.58
408.0 25.1504
409.16 25.83
414.5 25.2144
429.5 26.03
431.2 26.03
444.76 26.0
448.5 25.5128
450.0 26.3
450.5 25.4915
462.76 26.31
466.04 26.25
480.47 26.44
483.0 25.7898
485.0 25.9604
489.09 26.39
490.0 25.8112
496.0 25.8964
499.64 26.47
500.0 26.6
505.0 25.9604
510.39 26.51
527.0 26.2374
529.19 26.95
530.0 26.2161
531.83 26.64
545.0 26.1735
550.0 26.8
553.43 26.86
564.0 26.1735
566.87 26.8
574.5 26.6211
578.8 27.15
580.5 26.5358
582.5 26.4719
587.32 27.11
595.57 26.96
599.95 27.15
600.0 27.0
602.65 27.03
617.0 26.8342
617.0 26.5998
619.1 27.37
620.76 27.35
621.5 26.6637
636.5 26.8982
641.88 27.37
650.0 27.3
657.5 27.0687
665.31 27.56
665.5 27.1753
666.21 27.51
667.5 27.0261
669.5 27.0261
674.0 26.9408
681.09 27.51
683.5 26.9621
689.5 27.0687
693.1 27.75
700.0 27.6
707.5 27.1113
707.66 27.75
710.5 27.1966
717.33 27.93
721.0 27.3245
729.5 27.431
731.35 27.97
745.43 28.02
749.0 27.6015
750.0 28.0
752.0 27.4736
754.24 27.94
764.0 27.5163
767.06 28.18
778.11 28.19
780.0 27.6868
784.0 27.7294
792.24 28.28
794.02 28.16
800.0 28.5
803.5 27.6228
806.5 27.8786
808.62 28.23
818.18 28.52
819.06 28.55
829.0 28.0065
829.54 28.61
831.5 27.6868
844.45 28.76
850.0 28.9
856.16 28.77
869.36 28.52
886.34 28.99
886.39 28.83
891.5 28.5393
900.0 29.3
902.58 28.99
913.37 29.17
926.12 29.11
937.54 29.25
950.0 29.8
955.97 29.35
965.12 29.48
985.25 29.56
991.42 29.71
991.42 29.71
1000.0 30.2
1050.0 30.6
1100.0 31.0
1150.0 31.5
1200.0 31.9
1250.0 32.3
1300.0 32.8
1350.0 33.2
1400.0 33.6
1450.0 34.1
1500.0 33.48
1500.0 34.5
1550.0 34.5
1550.0 34.9
1600.0 35.32
1650.0 35.88
1700.0 35.81
1750.0 37.2
1800.0 38.26
1850.0 38.61
1900.0 39.71
1950.0 40.8
2000.0 41.96
2050.0 42.72
2100.0 45.34
2100.0 45.34
